anzahl;vorname;geschlecht;position
2;Medina;w;1
2;Dominik;m;1
2;Melis;w;1
2;Eliah;m;1
2;Melisa;w;1
2;Elian;m;1
2;Melissa;w;1
2;Elijah;m;1
2;Melody;w;1
2;Eman;m;1
2;Merle;w;1
2;Emilian;m;1
2;Merve;w;1
2;Emilio;m;1
2;Milena;w;1
2;Emin;m;1
2;Miley;w;1
2;Florian;m;1
2;Milla;w;1
2;Gabriel;m;1
2;Miray;w;1
2;Ian;m;1
2;Noelia;w;1
2;Ilyas;m;1
2;Olivia;w;1
2;Issa;m;1
2;Ophelia;w;1
2;Jack;m;1
2;Paulina;w;1
2;Jacob;m;1
2;Rania;w;1
2;Jamal;m;1
2;Rosa;w;1
2;Janosch;m;1
2;Selina;w;1
2;Jasper;m;1
2;Stella;w;1
2;Johann;m;1
2;Tara;w;1
2;Julien;m;1
2;Thea;w;1
2;Kaan;m;1
2;Theresa;w;1
2;Karl;m;1
2;Tilda;w;1
2;Kaya;m;1
2;Victoria;w;1
2;Kerem;m;1
2;Viktoria;w;1
2;Kian;m;1
2;Yaren;w;1
2;Kilian;m;1
2;Zümra;w;1
2;Konstantin;m;1
2;Kuzey;m;1
2;Lejs;m;1
2;Leonardo;m;1
2;Levent;m;1
2;Lijan;m;1
2;Maikel;m;1
2;Marco;m;1
2;Matti;m;1
2;Mattis;m;1
2;Mehdi;m;1
2;Metehan;m;1
2;Miguel;m;1
2;Mike;m;1
2;Mohamed;m;1
2;Mohammad;m;1
2;Mustafa;m;1
2;Mylo;m;1
2;Niclas;m;1
2;Niko;m;1
2;Nikolaj;m;1
2;Philip;m;1
2;Phillip;m;1
2;Rayan;m;1
2;Renas;m;1
2;Robert;m;1
2;Ryan;m;1
2;Sebastian;m;1
2;Selim;m;1
2;Semih;m;1
2;Soufian;m;1
2;Thore;m;1
2;Tino;m;1
2;Toni;m;1
2;Tristan;m;1
2;Umut;m;1
2;Valentino;m;1
2;Vincent;m;1
2;Yakup;m;1
2;Yasin;m;1
2;Yiğit;m;1
2;Ömer;m;1
2;Ömer-Asaf;m;1
1;Heinrich;m;4
1;Ursula;w;4
1;Yassa;m;4
1;Anh;w;3
1;Anni;w;3
1;Barsi;w;3
1;Al-Malik;m;3
1;Brunhilde;w;3
1;Alfred;m;3
1;Elisabeth;w;3
1;Azizdinovič;m;3
1;Elvira;w;3
1;Egon;m;3
1;Ilona;w;3
1;Elchin;m;3
1;Magarete;w;3
1;Emeka;m;3
1;Margot;w;3
1;Emilio;m;3
1;Nicole;w;3
1;Guillermo;m;3
1;Qing;w;3
1;Helmut;m;3
1;Renate;w;3
1;Hermann;m;3
1;Rose;w;3
1;Johann;m;3
1;Siegrid;w;3
1;Julián;m;3
1;Sophie;w;3
1;Karl;m;3
1;Thea;w;3
1;Louis;m;3
1;Ylvi;w;3
1;Martin;m;3
1;Zeynep;w;3
1;Naeem;m;3
1;Paul;m;3
1;Peter;m;3
1;Prince;m;3
1;Sebastian;m;3
1;Stephan;m;3
1;Tinda;m;3
1;Uwe;m;3
1;Wolfgang;m;3
1;Zayn;m;3
1;Zeki;m;3
1;Zunoure;m;3
1;Adjoa;w;2
1;Alena;w;2
1;Alessia;w;2
1;Alexa;w;2
1;Aliya;w;2
1;Alma;w;2
1;Abd;m;2
1;Ama;w;2
1;Abel;m;2
1;Anastasia;w;2
1;Adam;m;2
1;Ann;w;2
1;Adil;m;2
1;Anna;w;2
1;Adolf;m;2
1;Anni;w;2
1;Agbélété;m;2
1;Antje;w;2
1;Ahmet;m;2
1;Ariana;w;2
1;Alaz;m;2
1;Assa;w;2
1;Alessio;m;2
1;Atra;w;2
1;Alik;m;2
1;Ayomide;w;2
1;Alp;m;2
1;Barbara;w;2
1;Alperen;m;2
1;Birgit;w;2
1;Anatoli;m;2
1;Calea;w;2
1;Andre;m;2
1;Charline;w;2
1;Antonio;m;2
1;Charlotte;w;2
1;Antonius;m;2
1;Chaymae;w;2
1;Aras;m;2
1;Chikamso;w;2
1;Arda;m;2
1;Chizetere;w;2
1;Ares;m;2
1;Christina;w;2
1;Armando;m;2
1;Christine;w;2
1;Artur;m;2
1;Christine-Maria;w;2
1;Arya;m;2
1;Corinna;w;2
1;Asaf;m;2
1;Dennis;w;2
1;Aslan;m;2
1;Diaka;w;2
1;Aydin;m;2
1;Diana;w;2
1;Azad;m;2
1;Dilek;w;2
1;Azmi;m;2
1;Dorothée;w;2
1;Benedikt;m;2
1;Ece;w;2
1;Benjamin;m;2
1;Elea;w;2
1;Bennett;m;2
1;Eleonore;w;2
1;Benyamin;m;2
1;Elina;w;2
1;Berat;m;2
1;Elisa;w;2
1;Bernhard;m;2
1;Elise;w;2
1;Boahen;m;2
1;Era;w;2
1;Béla;m;2
1;Erica;w;2
1;Can-Roman;m;2
1;Esma;w;2
1;Carlo;m;2
1;Estelle;w;2
1;Cem;m;2
1;Estrella;w;2
1;Chidiebere;m;2
1;Evelin;w;2
1;Christoph;m;2
1;Eylül;w;2
1;Christopher;m;2
1;Femke;w;2
1;Conner;m;2
1;Frieda;w;2
1;Connor;m;2
1;Gabriela;w;2
1;Constantin;m;2
1;Gioia;w;2
1;Cristian;m;2
1;Gloria;w;2
1;Cristiano;m;2
1;Greta;w;2
1;Dalibor;m;2
1;Gül;w;2
1;Devin;m;2
1;Gülnaz;w;2
1;Devrim;m;2
1;Hacer;w;2
1;Dilschad;m;2
1;Hafsa;w;2
1;Diyar;m;2
1;Hayme;w;2
1;Domenico;m;2
1;Heike;w;2
1;Ebubechukwu-Ikemba;m;2
1;Helene;w;2
1;Eduard;m;2
1;Henrike;w;2
1;Edwin;m;2
1;Hermine;w;2
1;Elia;m;2
1;Hilal;w;2
1;Emil;m;2
1;Hope;w;2
1;Emilian;m;2
1;Ingrid;w;2
1;Emre;m;2
1;Ira;w;2
1;Enrico;m;2
1;Irena;w;2
1;Erik;m;2
1;Jade;w;2
1;Eugen;m;2
1;Jaël;w;2
1;Farraj;m;2
1;Jen;w;2
1;Faruk;m;2
1;Jessica;w;2
1;Felipe;m;2
1;Josephine;w;2
1;Feliz;m;2
1;Julia;w;2
1;Fiete;m;2
1;Juna;w;2
1;Florian;m;2
1;Jyn;w;2
1;Francesco;m;2
1;Karin;w;2
1;Franz;m;2
1;Karina;w;2
1;Gani;m;2
1;Karolina;w;2
1;Garrit;m;2
1;Kerstin;w;2
1;Georgian;m;2
1;Kiara;w;2
1;Gerd;m;2
1;Krasimirova;w;2
1;Hagen;m;2
1;Kübra;w;2
1;Hakkı;m;2
1;Lagertha;w;2
1;Halis;m;2
1;Lara;w;2
1;Halvar;m;2
1;Larina;w;2
1;Hamza;m;2
1;Latifa;w;2
1;Han;m;2
1;Layal;w;2
1;Hans-Robert;m;2
1;Lea;w;2
1;Hasan;m;2
1;Leah;w;2
1;Henning;m;2
1;Lena;w;2
1;Hüseyin;m;2
1;Leni;w;2
1;Ilya;m;2
1;Leonie;w;2
1;Ilyas;m;2
1;Liarah;w;2
1;Irorere;m;2
1;Lidiova;w;2
1;Issa;m;2
1;Lilia;w;2
1;Itzae;m;2
1;Liv;w;2
1;Jabal;m;2
1;Liva;w;2
1;Jake;m;2
1;Liya;w;2
1;Jakob;m;2
1;Lotta;w;2
1;James;m;2
1;Lucille;w;2
1;Jaron;m;2
1;Luczyna;w;2
1;Jascha;m;2
1;Lydia;w;2
1;Jermaine;m;2
1;Lynn;w;2
1;Joachim;m;2
1;Madeleine;w;2
1;Jonathan;m;2
1;Magdalena;w;2
1;Joschi;m;2
1;Maja;w;2
1;Joshua;m;2
1;Malie;w;2
1;Joud;m;2
1;Marguerite;w;2
1;Justin;m;2
1;Marlene;w;2
1;Jürgen;m;2
1;Matilda;w;2
1;Kachukwu;m;2
1;Melanie;w;2
1;Kai;m;2
1;Melek;w;2
1;Karabey;m;2
1;Melina;w;2
1;Karim;m;2
1;Melinda;w;2
1;Karol;m;2
1;Melissa;w;2
1;Keanu;m;2
1;Meral;w;2
1;Kelechi;m;2
1;Meryem;w;2
1;Ken;m;2
1;Meva;w;2
1;Kevin;m;2
1;Mia;w;2
1;Kingsley;m;2
1;Mila;w;2
1;Konstantin;m;2
1;Mira;w;2
1;Kurt;m;2
1;Muriel;w;2
1;Kwame;m;2
1;Mộc;w;2
1;Kylian;m;2
1;Namaganda;w;2
1;Leano;m;2
1;Nana;w;2
1;Lejan;m;2
1;Natalia;w;2
1;Lelio;m;2
1;Natalja;w;2
1;Leonard;m;2
1;Nefeli;w;2
1;Levi;m;2
1;Nuran;w;2
1;Levin;m;2
1;Olivia;w;2
1;Lionel;m;2
1;Omotese;w;2
1;Louis;m;2
1;Onyinyechukwu;w;2
1;Luan;m;2
1;Oya;w;2
1;Luay;m;2
1;Patricia;w;2
1;Luis;m;2
1;Pauline;w;2
1;Lukas;m;2
1;Pei;w;2
1;Maik;m;2
1;Philine;w;2
1;Maluma;m;2
1;Rebecca;w;2
1;Mandela;m;2
1;Rehema;w;2
1;Marc;m;2
1;Renee;w;2
1;Mares;m;2
1;Rosa-Marie;w;2
1;Marian;m;2
1;Rosalie;w;2
1;Marlon;m;2
1;Rosemarie;w;2
1;Mateo;m;2
1;Rosmary;w;2
1;Mats;m;2
1;Ruby;w;2
1;Mattheo;m;2
1;Saghi;w;2
1;Matthias;m;2
1;Sahra;w;2
1;Matti;m;2
1;Sara;w;2
1;Mattis;m;2
1;Selma;w;2
1;Maxime;m;2
1;Shanaya;w;2
1;Maximus;m;2
1;Sherlina;w;2
1;Mehmet;m;2
1;Shirin;w;2
1;Michel;m;2
1;Sieghild;w;2
1;Mihailov;m;2
1;Siham;w;2
1;Mikail;m;2
1;Smilla;w;2
1;Mike;m;2
1;Sofie;w;2
1;Milad;m;2
1;Soleil;w;2
1;Milan;m;2
1;Stella;w;2
1;Miracle;m;2
1;Sultan;w;2
1;Miraç;m;2
1;Sunny;w;2
1;Miro;m;2
1;Ulrike;w;2
1;Mohamed;m;2
1;Valentina;w;2
1;Moritz;m;2
1;Vanessa;w;2
1;Mustafa;m;2
1;Velichkova;w;2
1;Naim;m;2
1;Victoria;w;2
1;Nebi;m;2
1;Viktoria;w;2
1;Niclas;m;2
1;Vivienne;w;2
1;Nico;m;2
1;Wang;w;2
1;Nikita;m;2
1;Wilhelmina;w;2
1;Nikolas;m;2
1;Youssra;w;2
1;Nkemdior;m;2
1;Zaya;w;2
1;Nnamdi;m;2
1;Zeynep;w;2
1;Norbert;m;2
1;Zoe;w;2
1;Obinna;m;2
1;Zoey;w;2
1;Oliver;m;2
1;Zugna;w;2
1;Paweł;m;2
1;Pawlo;m;2
1;Petar;m;2
1;Pieter;m;2
1;Piotr;m;2
1;Quentin;m;2
1;Ralf;m;2
1;Ramses;m;2
1;Raymond;m;2
1;Rayyan;m;2
1;Reiner;m;2
1;Remigius;m;2
1;René;m;2
1;Riza;m;2
1;Roman;m;2
1;Rüdiger;m;2
1;Sabri;m;2
1;Salvatore;m;2
1;Samin;m;2
1;Samu;m;2
1;Sascha;m;2
1;Sergeev;m;2
1;Seyit;m;2
1;Sharbel;m;2
1;Silvio;m;2
1;Stanisław;m;2
1;Stefano;m;2
1;Talat;m;2
1;Thomas;m;2
1;Tom;m;2
1;Toussaint;m;2
1;Trunks;m;2
1;Tunda;m;2
1;Turan;m;2
1;Valentino;m;2
1;Vito;m;2
1;Wilhelm;m;2
1;Willi;m;2
1;William;m;2
1;Wolfgang-Dieter;m;2
1;Xaver;m;2
1;Yaron;m;2
1;Yevhen;m;2
1;Yigit;m;2
1;Yordanov;m;2
1;Yusuf;m;2
1;Çağlar;m;2
1;Émile;m;2
1;Şeref;m;2
1;Abigail;w;1
1;Ada;w;1
1;Aekamjoot;w;1
1;Agata;w;1
1;Agnes;w;1
1;Aische;w;1
1;Aisha;w;1
1;Akalya;w;1
1;Alecia;w;1
1;Alegra;w;1
1;Alena;w;1
1;Alenia-Ilona;w;1
1;Alia;w;1
1;Alia-Emilia;w;1
1;Alicia;w;1
1;Aliya;w;1
1;Aliya-Liya;w;1
1;Alliyah;w;1
1;Alyssa;w;1
1;Amalija;w;1
1;Amani;w;1
1;Amanpreet;w;1
1;Amara;w;1
1;Amila;w;1
1;Amina;w;1
1;Amra;w;1
1;Amy-Christin;w;1
1;Amyra;w;1
1;Anabel;w;1
1;Anahí;w;1
1;Andrea;w;1
1;Andreas;w;1
1;Anica;w;1
1;Anisa;w;1
1;Aniso;w;1
1;Anna-Lena;w;1
1;Anya;w;1
1;Arabella;w;1
1;Arina;w;1
1;Ariya;w;1
1;Arya;w;1
1;Asiya;w;1
1;Aslihan;w;1
1;Aaron;m;1
1;Aulona;w;1
1;Abdoul;m;1
1;Aurelia;w;1
1;Abdulaziz;m;1
1;Aurora;w;1
1;Abdullah;m;1
1;Awushetu;w;1
1;Abdullah-Salih;m;1
1;Ayat;w;1
1;Abdulmalik;m;1
1;Aysu;w;1
1;Adil;m;1
1;Azize;w;1
1;Adnan;m;1
1;Bahrije;w;1
1;Adrian-Paul;m;1
1;Barbara;w;1
1;Adriano;m;1
1;Behiye;w;1
1;Adrien;m;1
1;Belana;w;1
1;Aedan;m;1
1;Belanna;w;1
1;Ahmad;m;1
1;Belinay;w;1
1;Ahmed;m;1
1;Bente;w;1
1;Ahmedhan;m;1
1;Beren;w;1
1;Aid;m;1
1;Beti;w;1
1;Aidan;m;1
1;Betty;w;1
1;Akay;m;1
1;Beverley;w;1
1;Alexej;m;1
1;Bianca;w;1
1;Alican;m;1
1;Binta;w;1
1;Alik;m;1
1;Bisan;w;1
1;Alpay;m;1
1;Büsra;w;1
1;Alperen;m;1
1;Cansu;w;1
1;Altin;m;1
1;Cara;w;1
1;Amin;m;1
1;Carlotta;w;1
1;Amon;m;1
1;Carolin;w;1
1;Anass;m;1
1;Cataleya;w;1
1;Andi;m;1
1;Cathalea;w;1
1;Andreas;m;1
1;Cayan;w;1
1;Andrei;m;1
1;Celia;w;1
1;Angelo;m;1
1;Celina;w;1
1;Anik;m;1
1;Ceyda;w;1
1;Anir;m;1
1;Ceylin;w;1
1;Anis;m;1
1;Cheyenne;w;1
1;Antonino;m;1
1;Chizoba;w;1
1;Anuar;m;1
1;Cora;w;1
1;Aras;m;1
1;Dajen;w;1
1;Arda;m;1
1;Dalia;w;1
1;Aris;m;1
1;Damla;w;1
1;Arman;m;1
1;Dana;w;1
1;Armin;m;1
1;Daniela;w;1
1;Arne;m;1
1;Darin;w;1
1;Aron;m;1
1;Davina;w;1
1;Arthur;m;1
1;Delina;w;1
1;Artur;m;1
1;Desire;w;1
1;Aryan;m;1
1;Diana;w;1
1;Atahan;m;1
1;Dila;w;1
1;Aurelio;m;1
1;Dilan;w;1
1;Ayan;m;1
1;Dilara;w;1
1;Ayaz;m;1
1;Dilay;w;1
1;Ayden;m;1
1;Diya;w;1
1;Aylan;m;1
1;Dorela;w;1
1;Ayoub;m;1
1;Dragana-Vanessa;w;1
1;Badr;m;1
1;Ece-Melis;w;1
1;Baran;m;1
1;Ecrin;w;1
1;Barış;m;1
1;Ecrin-Nur;w;1
1;Bastian;m;1
1;Eda;w;1
1;Batuhan;m;1
1;Eileen;w;1
1;Bedran;m;1
1;Ejla;w;1
1;Bela;m;1
1;Ela-Su;w;1
1;Berkay;m;1
1;Elanur;w;1
1;Beyar;m;1
1;Elara;w;1
1;Boris;m;1
1;Eleana;w;1
1;Bosse;m;1
1;Eleonora;w;1
1;Brandon;m;1
1;Eliana;w;1
1;Bruno;m;1
1;Elif-Su;w;1
1;Bryan;m;1
1;Elifsu;w;1
1;Burak;m;1
1;Elin;w;1
1;Béla;m;1
1;Elisa-Valentina;w;1
1;Caleb;m;1
1;Elisabeht;w;1
1;Canel;m;1
1;Elisabeth;w;1
1;Cansın;m;1
1;Elise;w;1
1;Carl;m;1
1;Eliz-Elif;w;1
1;Caspar;m;1
1;Elliana;w;1
1;Charlie;m;1
1;Ellie;w;1
1;Charly;m;1
1;Elonie;w;1
1;Chris;m;1
1;Elyesa;w;1
1;Christoph;m;1
1;Emelie;w;1
1;Christopher;m;1
1;Emilia-Rose;w;1
1;Cihangir;m;1
1;Emine;w;1
1;Connor;m;1
1;Emmi;w;1
1;Damien;m;1
1;Ena;w;1
1;Danar;m;1
1;Esagila;w;1
1;Danilo;m;1
1;Esil;w;1
1;Danyal;m;1
1;Eslina;w;1
1;Dario;m;1
1;Esma;w;1
1;Darvin;m;1
1;Esui;w;1
1;Deevon;m;1
1;Evin;w;1
1;Dejan;m;1
1;Fabiola;w;1
1;Delano;m;1
1;Fatima-Zarah;w;1
1;Demba;m;1
1;Fatman;w;1
1;Deven;m;1
1;Fatme;w;1
1;Devin;m;1
1;Faye;w;1
1;Devrim;m;1
1;Fentje;w;1
1;Deyyan;m;1
1;Finya;w;1
1;Dimitri;m;1
1;Firdevs;w;1
1;Dirbas;m;1
1;Freya;w;1
1;Domenik;m;1
1;Giulia;w;1
1;Dzhevdet;m;1
1;Gjyzide;w;1
1;Edin;m;1
1;Gracie-Lou;w;1
1;Ediz-Ahmet;m;1
1;Greti;w;1
1;Efe;m;1
1;Habiba;w;1
1;Elan;m;1
1;Hadent;w;1
1;Elie;m;1
1;Hafsa;w;1
1;Elyesa;m;1
1;Hailey;w;1
1;Emir;m;1
1;Haley;w;1
1;Enejas-Isa;m;1
1;Halime-Nur;w;1
1;Enhar;m;1
1;Hamza;w;1
1;Ensar;m;1
1;Hanadi;w;1
1;Erblin;m;1
1;Hande;w;1
1;Eren;m;1
1;Hasnija;w;1
1;Eric;m;1
1;Hatice;w;1
1;Erich;m;1
1;Hayden;w;1
1;Erinc;m;1
1;Hayrunnisa;w;1
1;Ertan;m;1
1;Hedda;w;1
1;Eryk;m;1
1;Hediye-Maksude;w;1
1;Eymen;m;1
1;Helen;w;1
1;Faber;m;1
1;Helena;w;1
1;Fabrice;m;1
1;Hermine;w;1
1;Falk;m;1
1;Hevda;w;1
1;Ferenc;m;1
1;Hevi;w;1
1;Ferhat;m;1
1;Hiba;w;1
1;Fin;m;1
1;Hifa;w;1
1;Fjell;m;1
1;Hila;w;1
1;Fred;m;1
1;Hillary;w;1
1;Fritz;m;1
1;Hüma;w;1
1;Fynn-Luca;m;1
1;Hümeyra;w;1
1;Georg;m;1
1;Ikranur;w;1
1;Ghaith;m;1
1;Ilayda;w;1
1;Godstime;m;1
1;Ilena;w;1
1;Hadi;m;1
1;Iman;w;1
1;Haroun;m;1
1;Ina;w;1
1;Harun;m;1
1;Inga;w;1
1;Haytham;m;1
1;Inka;w;1
1;Hendrik;m;1
1;İpek;w;1
1;Henrik;m;1
1;Irmina;w;1
1;Hill;m;1
1;Isabela;w;1
1;Hugo;m;1
1;Jade;w;1
1;Husam;m;1
1;Janel-Mariella;w;1
1;Ilay;m;1
1;Janna;w;1
1;Ilian;m;1
1;Jannat;w;1
1;Ilja;m;1
1;Janne;w;1
1;İlkay;m;1
1;Jara;w;1
1;Ilyan;m;1
1;Jenna;w;1
1;Imran;m;1
1;Jessica;w;1
1;Isiah;m;1
1;Jette;w;1
1;Ismail;m;1
1;Jill;w;1
1;Ivar;m;1
1;Jonna;w;1
1;Jad;m;1
1;Jordan;w;1
1;Jamie;m;1
1;Joselyn;w;1
1;Janek;m;1
1;Josy;w;1
1;Janik;m;1
1;Joyce;w;1
1;Jannes;m;1
1;Juliana;w;1
1;Jannik;m;1
1;Julie;w;1
1;Jannik-Leo;m;1
1;Juliet;w;1
1;Jano;m;1
1;Jutta;w;1
1;Janusch;m;1
1;Kaia;w;1
1;Janusz;m;1
1;Karien;w;1
1;Jaron;m;1
1;Karlotta;w;1
1;Jascha;m;1
1;Karo;w;1
1;Jasin;m;1
1;Katharina;w;1
1;Jayson;m;1
1;Kathleen;w;1
1;Jeff;m;1
1;Kaya;w;1
1;Jeremy;m;1
1;Khadizhat;w;1
1;Jesus;m;1
1;Khalissy;w;1
1;Johan;m;1
1;Kian;w;1
1;Jonah;m;1
1;Kiana;w;1
1;Joona;m;1
1;Kristin;w;1
1;Joris;m;1
1;Kyra;w;1
1;Joschua;m;1
1;Käthe;w;1
